date,year,month,day,dayofweek,weekend,week_of_year,season,festival,festival_flag,festival_lift,rainfall_mm,temperature_c,weather
2025-01-01,2025,1,1,2,0,1,Winter,None,0,0.0,32.8,29.2,Normal
2025-01-02,2025,1,2,3,0,1,Winter,None,0,0.0,24.6,28.4,Normal
2025-01-03,2025,1,3,4,0,1,Winter,None,0,0.0,10.8,23.6,Normal
2025-01-04,2025,1,4,5,1,1,Winter,None,0,0.0,26.8,28.6,Normal
2025-01-05,2025,1,5,6,1,1,Winter,None,0,0.0,39.5,31.1,Normal
2025-01-06,2025,1,6,0,0,2,Winter,None,0,0.0,43.8,26.0,Normal
2025-01-07,2025,1,7,1,0,2,Winter,None,0,0.0,20.8,29.0,Normal
2025-01-08,2025,1,8,2,0,2,Winter,None,0,0.0,55.4,31.0,Rain
2025-01-09,2025,1,9,3,0,2,Winter,None,0,0.0,38.4,27.2,Normal
2025-01-10,2025,1,10,4,0,2,Winter,None,0,0.0,14.4,29.6,Normal
2025-01-11,2025,1,11,5,1,2,Winter,None,0,0.0,11.8,27.5,Normal
2025-01-12,2025,1,12,6,1,2,Winter,None,0,0.0,23.6,31.2,Normal
2025-01-13,2025,1,13,0,0,3,Winter,None,0,0.0,20.7,23.1,Normal
2025-01-14,2025,1,14,1,0,3,Winter,None,0,0.0,31.1,26.6,Normal
2025-01-15,2025,1,15,2,0,3,Winter,None,0,0.0,25.5,27.8,Normal
2025-01-16,2025,1,16,3,0,3,Winter,None,0,0.0,21.7,29.6,Normal
2025-01-17,2025,1,17,4,0,3,Winter,None,0,0.0,6.6,27.0,Normal
2025-01-18,2025,1,18,5,1,3,Winter,None,0,0.0,33.2,26.8,Normal
2025-01-19,2025,1,19,6,1,3,Winter,None,0,0.0,5.7,29.3,Normal
2025-01-20,2025,1,20,0,0,4,Winter,None,0,0.0,38.5,27.9,Normal
2025-01-21,2025,1,21,1,0,4,Winter,None,0,0.0,1.5,29.4,Normal
2025-01-22,2025,1,22,2,0,4,Winter,None,0,0.0,5.1,28.6,Normal
2025-01-23,2025,1,23,3,0,4,Winter,None,0,0.0,14.4,25.7,Normal
2025-01-24,2025,1,24,4,0,4,Winter,None,0,0.0,19.7,27.6,Normal
2025-01-25,2025,1,25,5,1,4,Winter,None,0,0.0,17.3,29.2,Normal
