customer_id,age,income_band,loyalty_tier,city,customer_value_factor,frequency,total_units,monetary,average_order_value,average_discount,cluster,segment
C0001,22,Medium,Silver,Kozhikode,1.0,68,230,4631722.94,68113.57264705883,0.02222058823529412,2,High Value
C0002,54,High,Silver,Kannur,1.35,72,243,4630524.48,64312.840000000004,0.01113888888888889,2,High Value
C0003,48,Medium,Gold,Kochi,1.15,72,280,3968345.64,55115.91166666667,0.021541666666666667,3,Regular
C0004,38,Low,Gold,Malappuram,0.9775,71,232,4499833.14,63377.93154929577,0.006859154929577465,2,High Value
C0005,38,High,Bronze,Kannur,1.215,75,268,3217974.46,42906.326133333336,0.017653333333333333,3,Regular
C0006,58,High,Bronze,Kannur,1.215,72,265,4377152.52,60793.784999999996,0.017083333333333332,3,Regular
C0007,22,Medium,Silver,Kozhikode,1.0,61,209,3020986.29,49524.365409836064,0.024295081967213115,1,Low Value
C0008,50,High,Silver,Thrissur,1.35,65,262,4382375.12,67421.1556923077,0.020953846153846156,2,High Value
C0009,27,Low,Bronze,Kochi,0.765,54,188,2858752.67,52939.86425925926,0.008166666666666668,1,Low Value
C0010,22,High,Silver,Kochi,1.35,73,288,3586867.76,49135.17479452054,0.015123287671232877,3,Regular
C0011,42,Medium,Gold,Kozhikode,1.15,74,238,5351798.44,72321.60054054054,0.008554054054054055,2,High Value
C0012,63,Medium,Gold,Kannur,1.15,70,246,4780057.74,68286.53914285715,0.021628571428571428,2,High Value
C0013,52,Low,Silver,Thrissur,0.85,66,240,3540144.11,53638.54712121212,0.012696969696969698,1,Low Value
C0014,53,High,Bronze,Malappuram,1.215,88,300,4793193.64,54468.10954545454,0.01644318181818182,3,Regular
C0015,51,Low,Bronze,Kozhikode,0.765,80,297,4864027.33,60800.341625,0.009887499999999999,3,Regular
C0016,54,Low,Silver,Kochi,0.85,70,244,3485481.56,49792.593714285715,0.018257142857142857,1,Low Value
C0017,42,Low,Bronze,Kozhikode,0.765,75,273,4626501.32,61686.68426666667,0.012346666666666667,3,Regular
C0018,24,Medium,Silver,Kochi,1.0,67,232,3284658.51,49024.75388059701,0.017507462686567166,1,Low Value
C0019,57,Low,Silver,Kochi,0.85,64,212,3503253.74,54738.3396875,0.01978125,1,Low Value
C0020,39,High,Bronze,Thrissur,1.215,75,249,5143928.61,68585.7148,0.017013333333333335,2,High Value
C0021,41,Medium,Bronze,Kochi,0.9,74,235,4235925.28,57242.233513513514,0.010675675675675676,3,Regular
C0022,35,Low,Bronze,Kochi,0.765,73,265,4084901.59,55957.55602739726,0.01798630136986301,3,Regular
C0023,26,Low,Gold,Malappuram,0.9775,76,306,4915070.18,64671.97605263157,0.014578947368421054,0,VIP
C0024,61,Low,Silver,Kozhikode,0.85,70,255,4518680.74,64552.582,0.0148,2,High Value
C0025,54,Medium,Bronze,Malappuram,0.9,55,176,3486761.92,63395.67127272727,0.013818181818181818,1,Low Value
C0026,48,High,Gold,Kochi,1.5525,81,279,4776973.5,58974.98148148148,0.006777777777777777,3,Regular
C0027,36,Low,Silver,Kozhikode,0.85,73,237,4006431.12,54882.61808219178,0.02247945205479452,1,Low Value
C0028,56,High,Silver,Malappuram,1.35,75,247,4447355.11,59298.06813333334,0.013813333333333334,3,Regular
C0029,43,Low,Platinum,Thrissur,1.105,86,301,5264737.67,61217.87988372093,0.02267441860465116,0,VIP
C0030,38,High,Bronze,Malappuram,1.215,75,264,4168895.23,55585.269733333334,0.022093333333333333,3,Regular
C0031,39,High,Bronze,Malappuram,1.215,58,191,3545939.91,61136.895000000004,0.015293103448275861,1,Low Value
C0032,28,Medium,Silver,Malappuram,1.0,75,253,4660088.64,62134.515199999994,0.01096,3,Regular
C0033,22,Medium,Bronze,Kozhikode,0.9,71,266,4609710.42,64925.498873239434,0.016098591549295774,2,High Value
C0034,44,High,Silver,Kozhikode,1.35,75,267,3941764.32,52556.857599999996,0.02416,3,Regular
C0035,59,Low,Bronze,Malappuram,0.765,60,235,4348659.52,72477.65866666666,0.0137,2,High Value
C0036,20,Low,Bronze,Kochi,0.765,83,299,5718689.73,68899.87626506024,0.010843373493975903,0,VIP
C0037,58,Low,Bronze,Thrissur,0.765,53,209,3195589.11,60294.13415094339,0.011849056603773585,1,Low Value
C0038,56,Medium,Silver,Thrissur,1.0,70,244,4176701.76,59667.168,0.013085714285714286,3,Regular
C0039,31,Medium,Bronze,Kozhikode,0.9,69,246,3962429.64,57426.51652173913,0.009347826086956522,3,Regular
C0040,47,Medium,Bronze,Kozhikode,0.9,77,290,4711212.75,61184.581168831166,0.013454545454545455,3,Regular
C0041,25,High,Gold,Kozhikode,1.5525,69,220,4814871.54,69780.74695652173,0.005710144927536232,2,High Value
C0042,53,Low,Bronze,Thrissur,0.765,81,307,5282074.15,65210.791975308646,0.01725925925925926,0,VIP
C0043,50,Medium,Bronze,Thrissur,0.9,71,272,3753919.08,52872.09971830986,0.021295774647887324,3,Regular
C0044,34,Low,Bronze,Kochi,0.765,70,257,4129427.82,58991.826,0.020257142857142856,3,Regular
C0045,21,Medium,Bronze,Malappuram,0.9,69,197,3046928.7800000003,44158.388115942034,0.017884057971014493,1,Low Value
C0046,63,Medium,Bronze,Kochi,0.9,68,251,3989486.74,58668.922647058826,0.01772058823529412,1,Low Value
C0047,38,High,Silver,Malappuram,1.35,71,240,3750020.59,52817.1914084507,0.029028169014084507,1,Low Value
C0048,59,Medium,Bronze,Kozhikode,0.9,61,198,3205192.49,52544.139180327875,0.03075409836065574,1,Low Value
C0049,49,Low,Gold,Kozhikode,0.9775,79,264,5366695.26,67932.85139240506,0.02650632911392405,0,VIP
C0050,54,Medium,Platinum,Malappuram,1.3,70,218,5044188.66,72059.838,0.016900000000000002,2,High Value
C0051,53,Low,Bronze,Kozhikode,0.765,62,219,3531919.17,56966.43822580645,0.007370967741935484,1,Low Value
C0052,27,High,Bronze,Kozhikode,1.215,55,188,3398467.28,61790.314181818176,0.03154545454545455,1,Low Value
C0053,35,Medium,Bronze,Thrissur,0.9,62,228,3053402.13,49248.4214516129,0.017338709677419354,1,Low Value
C0054,39,Low,Silver,Kannur,0.85,60,229,3247064.41,54117.74016666667,0.01175,1,Low Value
C0055,41,Low,Bronze,Kochi,0.765,75,263,4143082.01,55241.093466666665,0.018333333333333333,3,Regular
C0056,20,Low,Gold,Kozhikode,0.9775,75,264,3678650.94,49048.6792,0.014706666666666666,3,Regular
C0057,43,High,Gold,Kannur,1.5525,58,198,2771694.29,47787.832586206896,0.015844827586206898,1,Low Value
C0058,25,Medium,Gold,Malappuram,1.15,70,296,4316532.27,61664.746714285706,0.012785714285714286,3,Regular
C0059,52,Medium,Silver,Kozhikode,1.0,76,250,7107363.73,93517.94381578948,0.011236842105263158,0,VIP
C0060,50,Medium,Platinum,Malappuram,1.3,81,289,5940200.27,73335.80580246913,0.010197530864197531,0,VIP
C0061,61,Medium,Bronze,Kochi,0.9,78,297,5242493.69,67211.45756410257,0.011435897435897435,0,VIP
C0062,53,Low,Silver,Kochi,0.85,79,283,5028157.41,63647.56215189874,0.022227848101265824,0,VIP
C0063,35,High,Bronze,Thrissur,1.215,68,244,4361564.86,64140.65970588236,0.01861764705882353,2,High Value
C0064,63,Medium,Platinum,Malappuram,1.3,83,332,6487585.74,78163.68361445784,0.017530120481927713,0,VIP
C0065,37,Medium,Silver,Thrissur,1.0,81,280,4160030.59,51358.40234567901,0.012765432098765432,3,Regular
C0066,33,Medium,Gold,Kozhikode,1.15,80,290,5999838.93,74997.98662499999,0.0171625,0,VIP
