customer_id,age,income_band,loyalty_tier,city,customer_value_factor
C0001,22,Medium,Silver,Kozhikode,1.0
C0002,54,High,Silver,Kannur,1.35
C0003,48,Medium,Gold,Kochi,1.15
C0004,38,Low,Gold,Malappuram,0.9774999999999999
C0005,38,High,Bronze,Kannur,1.215
C0006,58,High,Bronze,Kannur,1.215
C0007,22,Medium,Silver,Kozhikode,1.0
C0008,50,High,Silver,Thrissur,1.35
C0009,27,Low,Bronze,Kochi,0.765
C0010,22,High,Silver,Kochi,1.35
C0011,42,Medium,Gold,Kozhikode,1.15
C0012,63,Medium,Gold,Kannur,1.15
C0013,52,Low,Silver,Thrissur,0.85
C0014,53,High,Bronze,Malappuram,1.215
C0015,51,Low,Bronze,Kozhikode,0.765
C0016,54,Low,Silver,Kochi,0.85
C0017,42,Low,Bronze,Kozhikode,0.765
C0018,24,Medium,Silver,Kochi,1.0
C0019,57,Low,Silver,Kochi,0.85
C0020,39,High,Bronze,Thrissur,1.215
C0021,41,Medium,Bronze,Kochi,0.9
C0022,35,Low,Bronze,Kochi,0.765
C0023,26,Low,Gold,Malappuram,0.9774999999999999
C0024,61,Low,Silver,Kozhikode,0.85
C0025,54,Medium,Bronze,Malappuram,0.9
C0026,48,High,Gold,Kochi,1.5525
C0027,36,Low,Silver,Kozhikode,0.85
C0028,56,High,Silver,Malappuram,1.35
C0029,43,Low,Platinum,Thrissur,1.105
C0030,38,High,Bronze,Malappuram,1.215
C0031,39,High,Bronze,Malappuram,1.215
C0032,28,Medium,Silver,Malappuram,1.0
C0033,22,Medium,Bronze,Kozhikode,0.9
C0034,44,High,Silver,Kozhikode,1.35
C0035,59,Low,Bronze,Malappuram,0.765
C0036,20,Low,Bronze,Kochi,0.765
C0037,58,Low,Bronze,Thrissur,0.765
C0038,56,Medium,Silver,Thrissur,1.0
C0039,31,Medium,Bronze,Kozhikode,0.9
C0040,47,Medium,Bronze,Kozhikode,0.9
C0041,25,High,Gold,Kozhikode,1.5525
C0042,53,Low,Bronze,Thrissur,0.765
C0043,50,Medium,Bronze,Thrissur,0.9
C0044,34,Low,Bronze,Kochi,0.765
C0045,21,Medium,Bronze,Malappuram,0.9
C0046,63,Medium,Bronze,Kochi,0.9
C0047,38,High,Silver,Malappuram,1.35
C0048,59,Medium,Bronze,Kozhikode,0.9
C0049,49,Low,Gold,Kozhikode,0.9774999999999999
C0050,54,Medium,Platinum,Malappuram,1.3
C0051,53,Low,Bronze,Kozhikode,0.765
C0052,27,High,Bronze,Kozhikode,1.215
C0053,35,Medium,Bronze,Thrissur,0.9
C0054,39,Low,Silver,Kannur,0.85
C0055,41,Low,Bronze,Kochi,0.765
C0056,20,Low,Gold,Kozhikode,0.9774999999999999
C0057,43,High,Gold,Kannur,1.5525
C0058,25,Medium,Gold,Malappuram,1.15
C0059,52,Medium,Silver,Kozhikode,1.0
C0060,50,Medium,Platinum,Malappuram,1.3
C0061,61,Medium,Bronze,Kochi,0.9
C0062,53,Low,Silver,Kochi,0.85
C0063,35,High,Bronze,Thrissur,1.215
C0064,63,Medium,Platinum,Malappuram,1.3
C0065,37,Medium,Silver,Thrissur,1.0
C0066,33,Medium,Gold,Kozhikode,1.15
C0067,60,Medium,Bronze,Kannur,0.9
C0068,35,High,Platinum,Malappuram,1.7550000000000001
C0069,21,Low,Silver,Thrissur,0.85
C0070,40,Medium,Silver,Kochi,1.0
C0071,55,Medium,Platinum,Kochi,1.3
C0072,26,Medium,Bronze,Thrissur,0.9
C0073,39,Low,Bronze,Kannur,0.765
C0074,24,Low,Silver,Kannur,0.85
C0075,50,Medium,Bronze,Kozhikode,0.9
C0076,40,Medium,Bronze,Kochi,0.9
C0077,33,Medium,Bronze,Kannur,0.9
C0078,28,Medium,Bronze,Thrissur,0.9
C0079,44,Medium,Gold,Kozhikode,1.15
C0080,49,Medium,Silver,Thrissur,1.0
C0081,62,Medium,Bronze,Kannur,0.9
C0082,38,Low,Silver,Kozhikode,0.85
C0083,25,Medium,Silver,Thrissur,1.0
C0084,57,Medium,Silver,Thrissur,1.0
C0085,47,Low,Platinum,Malappuram,1.105
C0086,50,Medium,Platinum,Thrissur,1.3
C0087,22,Medium,Bronze,Kozhikode,0.9
C0088,32,Low,Bronze,Kannur,0.765
C0089,54,Medium,Silver,Kannur,1.0
C0090,57,Medium,Silver,Kannur,1.0
C0091,38,Medium,Silver,Thrissur,1.0
C0092,55,Medium,Silver,Kochi,1.0
C0093,57,Medium,Silver,Kozhikode,1.0
C0094,36,Medium,Bronze,Malappuram,0.9
C0095,60,Medium,Bronze,Kannur,0.9
C0096,31,Medium,Bronze,Malappuram,0.9
C0097,29,Medium,Bronze,Malappuram,0.9
C0098,50,Medium,Bronze,Kochi,0.9
C0099,47,Medium,Gold,Thrissur,1.15
C0100,24,Medium,Bronze,Kozhikode,0.9
C0101,57,Medium,Bronze,Kochi,0.9
C0102,27,High,Silver,Kannur,1.35
C0103,55,High,Gold,Kochi,1.5525
C0104,18,Medium,Bronze,Kochi,0.9
C0105,55,Medium,Gold,Kochi,1.15
C0106,54,Medium,Platinum,Malappuram,1.3
C0107,54,Medium,Silver,Kochi,1.0
C0108,49,High,Silver,Kannur,1.35
C0109,40,Medium,Bronze,Malappuram,0.9
C0110,51,Low,Platinum,Kozhikode,1.105
C0111,31,Low,Bronze,Kochi,0.765
C0112,54,High,Platinum,Malappuram,1.7550000000000001
C0113,44,Low,Silver,Kochi,0.85
C0114,39,Medium,Bronze,Kannur,0.9
C0115,41,Medium,Bronze,Kozhikode,0.9
C0116,44,Low,Silver,Malappuram,0.85
C0117,19,Medium,Silver,Kochi,1.0
C0118,24,Medium,Bronze,Kochi,0.9
