column,dtype,missing,missing_pct,unique
date,datetime64[ns],0,0.0,631
store_id,object,0,0.0,5
product_id,object,0,0.0,20
customer_id,object,5835,9.25,800
selling_price,float64,0,0.0,6626
competitor_price,float64,0,0.0,61186
promotion,int64,0,0.0,2
discount_rate,float64,0,0.0,202
demand_units,int64,0,0.0,23
units_sold,int64,0,0.0,23
inventory_available,int64,0,0.0,56
stockout,int64,0,0.0,2
festival,object,58400,92.55,4
festival_flag,int64,0,0.0,2
season,object,0,0.0,4
rainfall_mm,float64,0,0.0,435
temperature_c,float64,0,0.0,126
weather,object,0,0.0,4
revenue,float64,0,0.0,6408
profit,float64,0,0.0,6443
