date,revenue,units,profit,demand,month
2025-01,178679896.18,10111,38186856.39,10111,2025-01
2025-02,165719277.56,9074,35204365.74,9077,2025-02
2025-03,191797182.2,10803,40742874.63,10808,2025-03
2025-04,198344089.86,10949,41986616.4,10953,2025-04
2025-05,188001572.67,10595,39951939.66,10600,2025-05
2025-06,130069258.61,7579,27893359.84,7580,2025-06
2025-07,133738984.7,7713,28602090.57,7717,2025-07
2025-08,155525957.93,8715,33061768.4,8722,2025-08
2025-09,162022617.49,9090,34393571.71,9092,2025-09
2025-10,216178611.91,12271,46047630.34,12274,2025-10
2025-11,187988942.57,10665,40001848.62,10677,2025-11
2025-12,216786539.84,12377,46329368.86,12379,2025-12
2026-01,179601541.05,9992,38160814.18,9999,2026-01
2026-02,160689745.17,8861,34203102.68,8863,2026-02
2026-03,186270274.81,10579,39719619.74,10589,2026-03
2026-04,188008718.34,10743,40164863.07,10746,2026-04
2026-05,188601583.91,10630,40180024.6,10635,2026-05
2026-06,133175804.72,7612,28449834.03,7612,2026-06
2026-07,135856546.89,7743,28962062.83,7751,2026-07
2026-08,172257410.5,9813,36728380.68,9816,2026-08
2026-09,104803543.86,5883,22201477.86,5886,2026-09
