product_id,units,demand,revenue,profit,stockouts
P004,4151,4153,528653168.47,84584507.01,1
P003,6545,6547,449636074.09,80934493.35,1
P002,6973,6974,403134106.38,80626821.21,1
P006,7607,7607,299107198.97,59821439.82,0
P009,7804,7806,260516533.81,57313637.48,1
P010,7382,7384,238995528.8,52579016.33,1
P005,9315,9316,228789085.2,50333598.67,1
P001,10250,10256,221486766.31,62016294.67,2
P008,8991,8996,220752746.19,55188186.46,1
P007,10709,10710,189179893.66,49186772.28,1
P020,5801,5801,102247665.11,22494486.34,0
P015,5210,5210,101679316.67,18302276.94,0
P014,8394,8398,65831861.51,13166372.28,1
P013,8933,8936,61386833.65,14118971.77,1
P017,12883,12885,50488962.76,13632019.99,2
P012,10576,10579,46755590.45,11688897.61,2
P018,20568,20589,30267343.51,11501590.32,10
P016,18066,18081,26536328.61,8491625.07,8
P019,14143,14155,26344580.6,7376482.46,5
P011,17497,17504,22328516.02,7814980.77,2
