date,store_id,product_id,customer_id,selling_price,competitor_price,promotion,discount_rate,demand_units,units_sold,inventory_available,stockout,festival,festival_flag,season,rainfall_mm,temperature_c,weather,revenue,profit
2025-01-01,S001,P001,C0165,19673.68,22482.47,1,0.106,5,5,18,0,None,0,Winter,32.8,29.2,Normal,98368.38,27543.15
2025-01-01,S001,P002,C0355,59000.0,60333.01,0,0.0,4,4,27,0,None,0,Winter,32.8,29.2,Normal,236000.0,47200.0
2025-01-01,S001,P003,C0665,69900.0,69227.22,0,0.0,3,3,38,0,None,0,Winter,32.8,29.2,Normal,209700.0,37746.0
2025-01-01,S001,P004,C0088,129900.0,133843.11,0,0.0,1,1,35,0,None,0,Winter,32.8,29.2,Normal,129900.0,20784.0
2025-01-01,S001,P005,C0708,24999.0,24372.35,0,0.0,5,5,33,0,None,0,Winter,32.8,29.2,Normal,124995.0,27498.9
2025-01-01,S001,P006,C0703,39999.0,41291.84,0,0.0,2,2,9,0,None,0,Winter,32.8,29.2,Normal,79998.0,15999.6
2025-01-01,S001,P007,C0458,17999.0,18008.52,0,0.0,7,7,34,0,None,0,Winter,32.8,29.2,Normal,125993.0,32758.18
2025-01-01,S001,P008,C0704,24999.0,25040.74,0,0.0,5,5,30,0,None,0,Winter,32.8,29.2,Normal,124995.0,31248.75
2025-01-01,S001,P009,C0504,33999.0,34748.12,0,0.0,4,4,26,0,None,0,Winter,32.8,29.2,Normal,135996.0,29919.12
2025-01-01,S001,P010,C0788,32999.0,33299.15,0,0.0,5,5,23,0,None,0,Winter,32.8,29.2,Normal,164995.0,36298.9
2025-01-01,S001,P011,C0169,1299.0,1259.53,0,0.0,5,5,20,0,None,0,Winter,32.8,29.2,Normal,6495.0,2273.25
2025-01-01,S001,P012,,4490.0,4225.99,0,0.0,0,0,25,0,None,0,Winter,32.8,29.2,Normal,0.0,0.0
2025-01-01,S001,P013,C0189,6205.26,7149.23,1,0.113,7,7,35,0,None,0,Winter,32.8,29.2,Normal,43436.79,9990.46
2025-01-01,S001,P014,C0275,7999.0,7686.09,0,0.0,3,3,31,0,None,0,Winter,32.8,29.2,Normal,23997.0,4799.4
2025-01-01,S001,P015,C0684,19900.0,20526.65,0,0.0,1,1,37,0,None,0,Winter,32.8,29.2,Normal,19900.0,3582.0
2025-01-01,S001,P016,C0673,1499.0,1477.89,0,0.0,5,5,32,0,None,0,Winter,32.8,29.2,Normal,7495.0,2398.4
2025-01-01,S001,P017,C0562,3999.0,3968.48,0,0.0,4,4,35,0,None,0,Winter,32.8,29.2,Normal,15996.0,4318.92
2025-01-01,S001,P018,C0055,1499.0,1526.15,0,0.0,9,9,25,0,None,0,Winter,32.8,29.2,Normal,13491.0,5126.58
2025-01-01,S001,P019,C0038,1900.0,1915.62,0,0.0,5,5,36,0,None,0,Winter,32.8,29.2,Normal,9500.0,2660.0
2025-01-01,S001,P020,C0646,17999.0,17850.21,0,0.0,2,2,41,0,None,0,Winter,32.8,29.2,Normal,35998.0,7919.56
2025-01-01,S002,P001,C0181,22000.0,21886.03,0,0.0,4,4,33,0,None,0,Winter,32.8,29.2,Normal,88000.0,24640.0
2025-01-01,S002,P002,,59000.0,56753.31,0,0.0,0,0,23,0,None,0,Winter,32.8,29.2,Normal,0.0,0.0
2025-01-01,S002,P003,C0331,69900.0,70367.22,0,0.0,1,1,34,0,None,0,Winter,32.8,29.2,Normal,69900.0,12582.0
2025-01-01,S002,P004,,129900.0,129751.6,0,0.0,0,0,42,0,None,0,Winter,32.8,29.2,Normal,0.0,0.0
2025-01-01,S002,P005,C0275,24999.0,23984.95,0,0.0,2,2,30,0,None,0,Winter,32.8,29.2,Normal,49998.0,10999.56
2025-01-01,S002,P006,C0669,39999.0,42450.93,0,0.0,3,3,27,0,None,0,Winter,32.8,29.2,Normal,119997.0,23999.4
2025-01-01,S002,P007,C0275,17999.0,17771.61,0,0.0,6,6,16,0,None,0,Winter,32.8,29.2,Normal,107994.0,28078.44
2025-01-01,S002,P008,C0601,24999.0,26181.73,0,0.0,3,3,17,0,None,0,Winter,32.8,29.2,Normal,74997.0,18749.25
2025-01-01,S002,P009,C0603,33999.0,36096.27,0,0.0,2,2,28,0,None,0,Winter,32.8,29.2,Normal,67998.0,14959.56
2025-01-01,S002,P010,C0099,32999.0,33690.06,0,0.0,2,2,17,0,None,0,Winter,32.8,29.2,Normal,65998.0,14519.56
2025-01-01,S002,P011,C0172,1299.0,1375.86,0,0.0,5,5,25,0,None,0,Winter,32.8,29.2,Normal,6495.0,2273.25
2025-01-01,S002,P012,C0621,4490.0,4353.33,0,0.0,4,4,25,0,None,0,Winter,32.8,29.2,Normal,17960.0,4490.0
2025-01-01,S002,P013,C0387,6999.0,7392.75,0,0.0,2,2,37,0,None,0,Winter,32.8,29.2,Normal,13998.0,3219.54
2025-01-01,S002,P014,C0490,7999.0,7522.93,0,0.0,4,4,22,0,None,0,Winter,32.8,29.2,Normal,31996.0,6399.2
2025-01-01,S002,P015,,19900.0,20603.54,0,0.0,0,0,21,0,None,0,Winter,32.8,29.2,Normal,0.0,0.0
2025-01-01,S002,P016,C0520,1499.0,1548.67,0,0.0,2,2,23,0,None,0,Winter,32.8,29.2,Normal,2998.0,959.36
2025-01-01,S002,P017,C0274,3999.0,3761.29,0,0.0,2,2,21,0,None,0,Winter,32.8,29.2,Normal,7998.0,2159.46
2025-01-01,S002,P018,C0044,1265.01,1577.85,1,0.156,11,11,34,0,None,0,Winter,32.8,29.2,Normal,13915.15,5287.76
2025-01-01,S002,P019,,1900.0,1828.05,0,0.0,0,0,26,0,None,0,Winter,32.8,29.2,Normal,0.0,0.0
2025-01-01,S002,P020,C0195,16835.61,19094.87,1,0.065,3,3,19,0,None,0,Winter,32.8,29.2,Normal,50506.84,11111.51
2025-01-01,S003,P001,,22000.0,20788.3,0,0.0,0,0,20,0,None,0,Winter,32.8,29.2,Normal,0.0,0.0
2025-01-01,S003,P002,C0301,59000.0,56217.53,0,0.0,1,1,27,0,None,0,Winter,32.8,29.2,Normal,59000.0,11800.0
2025-01-01,S003,P003,C0476,69900.0,67459.56,0,0.0,2,2,25,0,None,0,Winter,32.8,29.2,Normal,139800.0,25164.0
2025-01-01,S003,P004,C0502,129900.0,125215.58,0,0.0,1,1,22,0,None,0,Winter,32.8,29.2,Normal,129900.0,20784.0
2025-01-01,S003,P005,C0559,24999.0,24493.33,0,0.0,2,2,37,0,None,0,Winter,32.8,29.2,Normal,49998.0,10999.56
2025-01-01,S003,P006,C0658,35934.13,40091.38,1,0.102,4,4,29,0,None,0,Winter,32.8,29.2,Normal,143736.52,28747.3
2025-01-01,S003,P007,C0714,17999.0,18441.84,0,0.0,2,2,34,0,None,0,Winter,32.8,29.2,Normal,35998.0,9359.48
2025-01-01,S003,P008,C0696,24999.0,26479.05,0,0.0,7,7,22,0,None,0,Winter,32.8,29.2,Normal,174993.0,43748.25
2025-01-01,S003,P009,C0486,33999.0,36191.49,0,0.0,2,2,28,0,None,0,Winter,32.8,29.2,Normal,67998.0,14959.56
2025-01-01,S003,P010,C0444,32999.0,32336.61,0,0.0,4,4,20,0,None,0,Winter,32.8,29.2,Normal,131996.0,29039.12
2025-01-01,S003,P011,C0031,1299.0,1261.83,0,0.0,4,4,26,0,None,0,Winter,32.8,29.2,Normal,5196.0,1818.6
2025-01-01,S003,P012,C0799,4490.0,4392.53,0,0.0,2,2,27,0,None,0,Winter,32.8,29.2,Normal,8980.0,2245.0
2025-01-01,S003,P013,C0636,6999.0,6892.99,0,0.0,2,2,33,0,None,0,Winter,32.8,29.2,Normal,13998.0,3219.54
2025-01-01,S003,P014,C0508,7366.64,8417.33,1,0.079,3,3,25,0,None,0,Winter,32.8,29.2,Normal,22099.93,4419.99
2025-01-01,S003,P015,C0216,19900.0,20627.03,0,0.0,2,2,23,0,None,0,Winter,32.8,29.2,Normal,39800.0,7164.0
2025-01-01,S003,P016,C0664,1499.0,1463.06,0,0.0,3,3,13,0,None,0,Winter,32.8,29.2,Normal,4497.0,1439.04
2025-01-01,S003,P017,C0333,3999.0,4148.31,0,0.0,8,8,22,0,None,0,Winter,32.8,29.2,Normal,31992.0,8637.84
2025-01-01,S003,P018,C0516,1499.0,1424.12,0,0.0,8,8,34,0,None,0,Winter,32.8,29.2,Normal,11992.0,4556.96
2025-01-01,S003,P019,C0722,1900.0,1946.6,0,0.0,3,3,18,0,None,0,Winter,32.8,29.2,Normal,5700.0,1596.0
2025-01-01,S003,P020,,17999.0,17361.17,0,0.0,0,0,33,0,None,0,Winter,32.8,29.2,Normal,0.0,0.0
2025-01-01,S004,P001,C0627,22000.0,21982.82,0,0.0,4,4,34,0,None,0,Winter,32.8,29.2,Normal,88000.0,24640.0
2025-01-01,S004,P002,C0589,59000.0,57958.08,0,0.0,1,1,28,0,None,0,Winter,32.8,29.2,Normal,59000.0,11800.0
2025-01-01,S004,P003,C0118,69900.0,70728.85,0,0.0,1,1,34,0,None,0,Winter,32.8,29.2,Normal,69900.0,12582.0
2025-01-01,S004,P004,,129900.0,126625.78,0,0.0,0,0,34,0,None,0,Winter,32.8,29.2,Normal,0.0,0.0
2025-01-01,S004,P005,C0738,18949.53,25021.77,1,0.242,3,3,27,0,None,0,Winter,32.8,29.2,Normal,56848.59,12506.69
2025-01-01,S004,P006,C0746,39999.0,40958.12,0,0.0,4,4,25,0,None,0,Winter,32.8,29.2,Normal,159996.0,31999.2
2025-01-01,S004,P007,C0128,17999.0,18631.08,0,0.0,3,3,35,0,None,0,Winter,32.8,29.2,Normal,53997.0,14039.22
2025-01-01,S004,P008,C0655,24999.0,25899.93,0,0.0,4,4,39,0,None,0,Winter,32.8,29.2,Normal,99996.0,24999.0
2025-01-01,S004,P009,C0513,33999.0,35262.94,0,0.0,3,3,39,0,None,0,Winter,32.8,29.2,Normal,101997.0,22439.34
2025-01-01,S004,P010,,32999.0,31493.93,0,0.0,0,0,35,0,None,0,Winter,32.8,29.2,Normal,0.0,0.0
2025-01-01,S004,P011,C0549,1299.0,1355.51,0,0.0,4,4,31,0,None,0,Winter,32.8,29.2,Normal,5196.0,1818.6
2025-01-01,S004,P012,C0317,4490.0,4295.48,0,0.0,2,2,27,0,None,0,Winter,32.8,29.2,Normal,8980.0,2245.0
2025-01-01,S004,P013,C0281,6999.0,6912.21,0,0.0,3,3,25,0,None,0,Winter,32.8,29.2,Normal,20997.0,4829.31
2025-01-01,S004,P014,C0443,7999.0,8208.74,0,0.0,3,3,30,0,None,0,Winter,32.8,29.2,Normal,23997.0,4799.4
2025-01-01,S004,P015,C0204,19900.0,19148.91,0,0.0,2,2,25,0,None,0,Winter,32.8,29.2,Normal,39800.0,7164.0
